Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,52305.24104611471,57000,43200.0,a Bachelor's degree,medium,low,49898.048056913154,49630.58216922409,closed,4776882
Roberta,82045.37661553522,61000,70560.0,a Bachelor's degree,high,high,49898.048056913154,46326.1226615107,closed,4776882
Andreas,55070.702161740475,45000,43200.0,a Bachelor's degree,low,medium,49898.048056913154,49323.308711932346,closed,4776882
Anna,43600.737676178294,55000,50400.0,a Bachelor's degree,high,low,49898.048056913154,50597.74921032814,closed,4776882
Josh,23810.272209875217,54000,36000.0,high school,medium,low,49898.048056913154,52796.68981769515,closed,4776882
Sabrina,40038.26416904543,54000,57600.0,a PhD,low,medium,49898.048056913154,50993.57960000957,closed,4776882
Marc,50239.57776770451,52500,50400.0,high school,medium,high,49898.048056913154,49860.10031126967,closed,4776882
Camilla,48807.545769044016,51500,50400.0,high school,medium,high,49898.048056913154,50019.2149777875,closed,4776882
Max,54477.387128205606,58000,43200.0,high school,medium,medium,49898.048056913154,49389.232604547324,closed,4776882
Caroline,48585.376025688056,58800,58799.99999999999,high school,high,high,49898.048056913154,50043.900504827056,closed,4776882
Arnault,29403.0351995354,37000,30000.0,high school,low,low,46943.05139575929,48891.94208422862,closed,628769
Roberta,63846.00553166193,60000,69120.0,a PhD,medium,medium,46943.05139575929,45064.945380659,closed,628769
Andreas,50695.74908934883,53000,43200.0,a Bachelor's degree,medium,low,46943.05139575929,46526.08498536046,closed,628769
Anna,64840.65118966583,58000,60480.0,a Bachelor's degree,high,medium,46943.05139575929,44954.429196436344,closed,628769
Josh,58813.79738833471,55000,60479.99999999999,a Bachelor's degree,medium,high,46943.05139575929,45624.07961880647,closed,628769
Sabrina,24503.60153987647,33000,30000.0,high school,low,low,46943.05139575929,49436.3236019685,closed,628769
Marc,38551.821626669866,53500,36000.0,high school,low,medium,46943.05139575929,47875.410258991455,closed,628769
Camilla,52355.59016013974,57800,57600.0,a PhD,low,medium,46943.05139575929,46341.65819971703,closed,628769
Max,34333.91189583084,49000,30000.0,high school,low,low,46943.05139575929,48344.06689575135,closed,628769
Caroline,52086.35033652932,52000,43200.0,a Bachelor's degree,medium,low,46943.05139575929,46371.57373567374,closed,628769
Arnault,58018.28704066963,65500,50400.0,a Master's degree,low,medium,66055.47608403169,66948.4970888497,closed,90140
Roberta,65633.90408292656,56000,60479.99999999999,a Bachelor's degree,medium,high,66055.47608403169,66102.31741748781,closed,90140
Andreas,59139.509253781835,53750,51840.0,a Bachelor's degree,medium,medium,66055.47608403169,66823.91684294834,closed,90140
Anna,61758.64252929411,67000,69120.0,a PhD,medium,medium,66055.47608403169,66532.90203455808,closed,90140
Josh,41818.551451065774,57000,58799.99999999999,a Master's degree,low,high,66055.47608403169,68748.46770991679,closed,90140
Sabrina,65457.35688234164,57000,58799.99999999999,high school,high,high,66055.47608403169,66121.93377310835,closed,90140
Marc,101815.48282778345,62000,94080.0,a PhD,high,high,66055.47608403169,62082.1420013926,closed,90140
Camilla,55005.97196395094,57000,58799.99999999999,a Master's degree,high,low,66055.47608403169,67283.19876404066,closed,90140
Max,60141.44982499666,58000,58799.99999999999,high school,high,high,66055.47608403169,66712.59011281336,closed,90140
Caroline,91765.60498350633,93500,80640.0,a PhD,high,medium,66055.47608403169,63198.79509520117,closed,90140
Arnault,91701.08025202838,98000,70559.99999999999,a Master's degree,high,medium,55711.13144615203,51712.248245499104,closed,966040
Roberta,32700.757343983212,58000,42000.0,a Master's degree,low,low,55711.13144615203,58267.83967972635,closed,966040
Andreas,52762.65205610777,44000,43200.0,a Bachelor's degree,low,medium,55711.13144615203,56038.74026726806,closed,966040
Anna,38440.71159507634,47000,36000.0,a Bachelor's degree,low,low,55711.13144615203,57630.06698516043,closed,966040
Josh,58428.86175056661,58000,50400.0,a Bachelor's degree,low,high,55711.13144615203,55409.16141232818,closed,966040
Sabrina,29831.12679663057,"52000

",42000.0,high school,high,low,55711.13144615203,58586.68751832108,closed,966040
Marc,46838.58187327676,47500,42000.0,high school,high,low,55711.13144615203,56696.97028758262,closed,966040
Camilla,60656.73840217781,53000,50400.0,high school,high,medium,55711.13144615203,55161.619562149164,closed,966040
Max,103969.56660829879,55000,70560.0,a Bachelor's degree,high,high,55711.13144615203,50349.08309480239,closed,966040
Caroline,41781.237783374105,51750,42000.0,high school,high,low,55711.13144615203,57258.89740868291,closed,966040
Arnault,44441.0006839397,51000,48000.0,a PhD,low,low,58848.074314293204,60448.86027322138,closed,3936080
Roberta,54704.40157905821,56000,51840.0,a Bachelor's degree,medium,medium,58848.074314293204,59308.48239598598,closed,3936080
Andreas,76219.48736523895,76000,50400.0,high school,medium,high,58848.074314293204,56917.91730863257,closed,3936080
Anna,56971.6633441987,55000,57600.0,a PhD,low,medium,58848.074314293204,59056.56442208149,closed,3936080
Josh,43244.62931836616,48000,50400.0,a Master's degree,low,medium,58848.074314293204,60581.79042495177,closed,3936080
Sabrina,51376.05477287746,52000,50400.0,high school,high,medium,58848.074314293204,59678.29870778384,closed,3936080
Marc,70309.46051213617,70560,70560.0,a Bachelor's degree,high,high,58848.074314293204,57574.58695897732,closed,3936080
Camilla,46813.67962445242,48000,42000.0,a Master's degree,low,low,58848.074314293204,60185.22927983108,closed,3936080
Max,63877.9792424992,63000,60480.0,a Bachelor's degree,high,medium,58848.074314293204,58289.19598893698,closed,3936080
Caroline,80522.3867001651,"$55,000",94080.0,a PhD,high,high,58848.074314293204,56439.81738252966,closed,3936080
Arnault,48032.442394346996,49725,50400.0,high school,medium,high,54169.89835052858,54851.837901215426,closed,77534
Roberta,64901.76428254246,66500,69120.0,a PhD,medium,medium,54169.89835052858,52977.46880252704,closed,77534
Andreas,55316.33430561137,56500,50400.0,a Bachelor's degree,high,low,54169.89835052858,54042.516577741604,closed,77534
Anna,44109.018874508416,44100,43200.0,a Bachelor's degree,low,medium,54169.89835052858,55287.773847864155,closed,77534
Josh,52267.83584364415,57000,51840.0,a Bachelor's degree,medium,medium,54169.89835052858,54381.2386290713,closed,77534
Sabrina,50497.310199605556,53000,50400.0,a Bachelor's degree,low,high,54169.89835052858,54577.96370063114,closed,77534
Marc,37885.798159357684,40000,42000.0,high school,high,low,54169.89835052858,55979.24281621424,closed,77534
Camilla,51533.47781248156,56500,58799.99999999999,a Master's degree,low,high,54169.89835052858,54462.83396586714,closed,77534
Max,66052.41208446989,70750,70559.99999999999,a Master's degree,high,medium,54169.89835052858,52849.61904675732,closed,77534
Caroline,71102.58954871769,57600,57600.0,a PhD,medium,low,54169.89835052858,52288.48821739646,closed,77534
Arnault,59682.43265473269,64000,69120.0,a PhD,medium,medium,47044.600977014445,45640.39745726797,closed,665406
Roberta,57687.021238976165,57500,57600.0,a PhD,medium,low,47044.600977014445,45862.10983679647,closed,665406
Andreas,58227.555965508174,47000,50400.0,high school,medium,high,47044.600977014445,45802.05042273736,closed,665406
Anna,26638.615682200747,30500,30000.0,high school,low,low,47044.600977014445,49311.932676438184,closed,665406
Josh,63748.49860528847,80640,80640.0,a PhD,high,medium,47044.600977014445,45188.61235165066,closed,665406
Sabrina,38790.62814412014,47500,50400.0,a Master's degree,medium,low,47044.600977014445,47961.70906955825,closed,665406
Marc,49628.57551053199,55720,70560.0,a Master's degree,medium,high,47044.600977014445,46757.49269551249,closed,665406
Camilla,46188.03237700942,45000,48000.0,a PhD,low,low,47044.600977014445,47139.77526590389,closed,665406
Max,41412.77231635547,52000,50400.0,a Master's degree,low,medium,47044.600977014445,47670.35971708766,closed,665406
Caroline,28441.87727542115,46000,36000.0,high school,medium,low,47044.600977014445,49111.57027719147,closed,665406
Arnault,109283.67231045592,115000,82319.99999999999,a Master's degree,high,high,59491.634760349545,53959.18614367106,closed,766288
Roberta,66547.72789406718,68484,67200.0,a PhD,low,high,59491.634760349545,58707.6244121587,closed,766288
Andreas,69340.42389024356,55000,69120.0,a PhD,medium,medium,59491.634760349545,58397.324857028,closed,766288
Anna,78807.4934712366,57500,60480.0,a Bachelor's degree,high,medium,59491.634760349545,57345.42823691765,closed,766288
Josh,49535.73453149382,57000,51840.0,a Bachelor's degree,medium,medium,59491.634760349545,60597.84589688907,closed,766288
Sabrina,24336.743948783536,57000,36000.0,a Bachelor's degree,low,low,59491.634760349545,63397.73373941244,closed,766288
Marc,65969.6255551768,54020,57600.0,a PhD,medium,low,59491.634760349545,58771.85800536875,closed,766288
Camilla,40956.23465456094,48200,50400.0,a Master's degree,medium,low,59491.634760349545,61551.12366099273,closed,766288
Max,54783.515117737414,80640,80640.0,a PhD,medium,high,59491.634760349545,60014.75916508422,closed,766288
Caroline,35355.17622973965,38000,43200.0,high school,medium,medium,59491.634760349545,62173.46348597287,closed,766288
Arnault,40610.577033872905,53000,60479.99999999999,a Bachelor's degree,medium,high,55930.52348706229,57632.739759638884,closed,53509
Roberta,65815.12603780258,68500,67200.0,a PhD,low,high,55930.52348706229,54832.234314757814,closed,53509
Andreas,51426.653506204726,46725,57600.0,a PhD,low,medium,55930.52348706229,56430.95348493535,closed,53509
Anna,31162.404461851827,47500,50400.0,a Bachelor's degree,high,low,55930.52348706229,58682.536712085675,closed,53509
Josh,32736.049642923033,58000,36000.0,high school,low,medium,55930.52348706229,58507.687247522204,closed,53509
Sabrina,56739.335282635955,51000,51840.0,a Bachelor's degree,medium,medium,55930.52348706229,55840.65550977633,closed,53509
Marc,76235.80105302723,56000,58799.99999999999,high school,high,high,55930.52348706229,53674.381535288405,closed,53509
Camilla,97608.95103095115,52000,67200.0,a PhD,low,high,55930.52348706229,51299.587093296854,closed,53509
Max,41332.8338117531,43500,43200.0,high school,medium,medium,55930.52348706229,57552.48900654109,closed,53509
Caroline,65637.50300960039,70000,80640.0,a PhD,high,medium,55930.52348706229,54851.97020678027,closed,53509
Arnault,84961.22416691079,42000,82319.99999999999,a Master's degree,high,high,54507.93244010131,51124.2333593447,closed,567400
Roberta,60421.7989344614,57000,57600.0,a PhD,medium,low,54507.93244010131,53850.83616295018,closed,567400
Andreas,69133.87486584089,53000,50400.0,high school,medium,high,54507.93244010131,52882.82772613024,closed,567400
Anna,40727.88031167398,47250,36000.0,a Bachelor's degree,low,low,54507.93244010131,56039.0493432599,closed,567400
Josh,65165.438433829855,52750,67200.0,a PhD,high,low,54507.93244010131,53323.7651074648,closed,567400
Sabrina,53182.65459213249,55000,70560.0,a Master's degree,medium,high,54507.93244010131,54655.185534320066,closed,567400
Marc,33959.68947154208,37000,36000.0,a Bachelor's degree,low,low,54507.93244010131,56791.070547719,closed,567400
Camilla,50364.08072785758,52000,42000.0,high school,low,high,54507.93244010131,54968.360408128385,closed,567400
Max,64702.12978883173,56000,60480.0,a Master's degree,medium,medium,54507.93244010131,53375.24384579793,closed,567400
Caroline,22460.553107932246,26500,36000.0,high school,medium,low,54507.93244010131,58068.75236589787,closed,567400
Arnault,50747.2686758155,45900,48000.0,a PhD,low,low,56092.68327424208,56686.618229622814,closed,38828
Roberta,27990.642022438766,57000,48000.0,a PhD,low,low,56092.68327424208,59215.13230222023,closed,38828
Andreas,74555.393621895,58000,70560.0,a Master's degree,medium,high,56092.68327424208,54041.27101339176,closed,38828
Anna,39486.74047125534,57500,48000.0,a PhD,low,low,56092.68327424208,57937.7880301295,closed,38828
Josh,49203.90483214202,"53,000",50400.0,high school,medium,high,56092.68327424208,56858.10310114209,closed,38828
Sabrina,38243.22343570334,46000,43200.0,high school,medium,medium,56092.68327424208,58075.95658963528,closed,38828
Marc,112173.64156723508,70000,94080.0,a PhD,high,high,56092.68327424208,49861.46568613175,closed,38828
Camilla,50310.24110582759,53650,43200.0,high school,medium,medium,56092.68327424208,56735.17684851036,closed,38828
Max,80571.67673346303,52000,58799.99999999999,high school,high,high,56092.68327424208,53372.795112106425,closed,38828
Caroline,37644.10027664512,47000,43200.0,a Bachelor's degree,medium,low,56092.68327424208,58142.52582953064,closed,38828
Arnault,52248.57573919577,60000,70560.0,a Bachelor's degree,high,high,61144.563204862796,62133.00625660357,closed,547309
Roberta,77980.01320399773,78000,70559.99999999999,a Master's degree,high,medium,61144.563204862796,59273.95764940335,closed,547309
Andreas,40682.2984999092,41000,36000.0,high school,medium,low,61144.563204862796,63418.148172079855,closed,547309
Anna,67160.61353547442,49500,50400.0,a Master's degree,low,medium,61144.563204862796,60476.11316812817,closed,547309
Josh,59850.01753879785,55000,60479.99999999999,a Bachelor's degree,medium,high,61144.563204862796,61288.40161220335,closed,547309
Sabrina,41371.37929227682,51500,42000.0,high school,low,high,61144.563204862796,63341.58363959457,closed,547309
Marc,55678.55017132069,58500,48000.0,a PhD,low,low,61144.563204862796,61751.897986367476,closed,547309
Camilla,65826.32393568163,70560,70560.0,a Bachelor's degree,high,high,61144.563204862796,60624.367568105146,closed,547309
Max,63468.9487922513,65356,69120.0,a PhD,medium,medium,61144.563204862796,60886.298139597406,closed,547309
Caroline,87178.91133972257,60000,58799.99999999999,high school,high,high,61144.563204862796,58251.857856545044,closed,547309
Arnault,36952.97389164892,69000,43200.0,a Bachelor's degree,low,medium,65507.596879104654,68680.33276659973,closed,6028231
Roberta,40129.526032658665,46000,43200.0,high school,medium,medium,65507.596879104654,68327.38252870977,closed,6028231
Andreas,97398.05858413817,55000,60480.0,a Master's degree,medium,medium,65507.596879104654,61964.21224521204,closed,6028231
Anna,97146.73104689324,60000,80640.0,a PhD,medium,high,65507.596879104654,61992.137527128136,closed,6028231
Josh,52072.82223536226,52500,57600.0,a PhD,low,medium,65507.596879104654,67000.34961729826,closed,6028231
Sabrina,88138.18418764313,77360,82319.99999999999,a Master's degree,high,high,65507.596879104654,62993.08717815593,closed,6028231
Marc,59407.50351717207,66000,67200.0,a PhD,high,low,65507.596879104654,66185.3850304305,closed,6028231
Camilla,64628.471632839486,60000,70560.0,a Bachelor's degree,high,high,65507.596879104654,65605.277462023,closed,6028231
Max,58028.69201192014,49000,50400.0,a Master's degree,medium,low,65507.596879104654,66338.58630879183,closed,6028231
Caroline,61173.00565077047,52585,50400.0,a Master's degree,low,medium,65507.596879104654,65989.21812669733,closed,6028231
Arnault,50754.4561757215,51500,50400.0,a Master's degree,low,medium,56204.28876797246,56809.82572266701,closed,4393296
Roberta,66901.8278617533,57300,58799.99999999999,a Master's degree,low,high,56204.28876797246,55015.67331310792,closed,4393296
Andreas,43349.718823189476,43800,43200.0,a Bachelor's degree,low,medium,56204.28876797246,57632.57431739279,closed,4393296
Anna,62910.440456146935,49000,50400.0,high school,high,medium,56204.28876797246,55459.160802619735,closed,4393296
Josh,31448.926691023487,34000,36000.0,a Bachelor's degree,low,low,56204.28876797246,58954.88455430012,closed,4393296
Sabrina,94807.24173979621,92000,80640.0,a PhD,medium,high,56204.28876797246,51915.071771103154,closed,4393296
Marc,52652.0403314095,60,80640.0,a PhD,high,medium,56204.28876797246,56598.98303870168,closed,4393296
Camilla,42494.61606021919,51000,50400.0,high school,medium,high,56204.28876797246,57727.5857355006,closed,4393296
Max,39287.86457175251,48000,43200.0,high school,medium,medium,56204.28876797246,58083.89145644134,closed,4393296
Caroline,77435.7549687125,57500,60480.0,a Master's degree,medium,medium,56204.28876797246,53845.23696789023,closed,4393296
Arnault,47433.49530018126,44000,42000.0,high school,high,low,58546.430682426624,59781.20128045389,closed,22067
Roberta,47746.72207279383,49500,50400.0,a Bachelor's degree,high,low,58546.430682426624,59746.39830571915,closed,22067
Andreas,67159.65270603057,56000,58799.99999999999,high school,high,high,58546.430682426624,57589.40601313729,closed,22067
Anna,73764.90182971777,60000,60480.0,a Master's degree,medium,medium,58546.430682426624,56855.48944383871,closed,22067
Josh,68814.42852123872,53000,50400.0,high school,medium,high,58546.430682426624,57405.54203366972,closed,22067
Sabrina,39624.5093175843,56000,58799.99999999999,high school,high,high,58546.430682426624,60648.86638963132,closed,22067
Marc,34083.34565521044,45000,43200.0,a Bachelor's degree,medium,low,58546.430682426624,61264.5512410062,closed,22067
Camilla,79671.2888390887,80000,57600.0,a PhD,low,medium,58546.430682426624,56199.22422057528,closed,22067
Max,61815.222617893174,64000,60480.0,a Bachelor's degree,high,medium,58546.430682426624,58183.231578485895,closed,22067
Caroline,65350.739964527405,68098,60479.99999999999,a Bachelor's degree,medium,high,58546.430682426624,57790.39631774875,closed,22067
Arnault,28103.966572836016,36000,36000.0,a Bachelor's degree,low,low,52684.05229859873,55415.172934794595,closed,64978246
Roberta,58420.97094046706,55200,51840.0,a Bachelor's degree,medium,medium,52684.05229859873,52046.616893946695,closed,64978246
Andreas,48304.58357428367,48500,50400.0,a Bachelor's degree,low,high,52684.05229859873,53170.65993463374,closed,64978246
Anna,31413.26649430813,45900,42000.0,a Master's degree,low,low,52684.05229859873,55047.47294351991,closed,64978246
Josh,40350.587681457815,57690,50400.0,a Bachelor's degree,high,low,52684.05229859873,54054.43725605884,closed,64978246
Sabrina,79549.32678216956,59040,57600.0,a PhD,low,medium,52684.05229859873,49699.0218004242,closed,64978246
Marc,65354.414571526955,54080,60479.99999999999,a Bachelor's degree,medium,high,52684.05229859873,51276.23426827338,closed,64978246
Camilla,70636.19830534553,57000,50400.0,a Master's degree,medium,low,52684.05229859873,50689.3694089602,closed,64978246
Max,72700.37227650806,52000,57600.0,a PhD,medium,low,52684.05229859873,50460.0167454977,closed,64978246
Caroline,32006.83578708458,56325,43200.0,a Bachelor's degree,medium,low,52684.05229859873,54981.52079987808,closed,64978246
Arnault,56106.6412617907,52500,50400.0,a Bachelor's degree,low,high,56209.32301963369,56220.73210383846,closed,1515910
Roberta,51161.19237952879,52641,57600.0,a PhD,medium,low,56209.32301963369,56770.226424089786,closed,1515910
Andreas,46536.95888252234,45000,30000.0,high school,low,low,56209.32301963369,57284.03014597939,closed,1515910
Anna,27466.663469216604,34200,36000.0,high school,low,medium,56209.32301963369,59402.95185856892,closed,1515910
Josh,67154.74564098913,72750,70559.99999999999,a Master's degree,high,medium,56209.32301963369,54993.16495059419,closed,1515910
Sabrina,45460.084161220104,51500,50400.0,high school,high,medium,56209.32301963369,57403.68289279075,closed,1515910
Marc,60581.16560165355,60000,69120.0,a PhD,medium,medium,56209.32301963369,55723.56273274259,closed,1515910
