Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,52096.91674155429,57000,60480.0,a Bachelor's degree,high,medium,55854.339281431014,56271.83067475065,open,1456650
Roberta,36478.5157173115,"53,000",42000.0,a Master's degree,low,low,55854.339281431014,58007.20856633318,open,1456650
Andreas,42883.50546152992,41600,43200.0,a Bachelor's degree,medium,low,55854.339281431014,57295.5430391978,open,1456650
Anna,52901.05369714055,52000,50400.0,a Bachelor's degree,high,low,55854.339281431014,56182.48212412996,open,1456650
Josh,97137.26773156997,67500,94080.0,a PhD,high,high,55854.339281431014,51267.34723141558,open,1456650
Sabrina,60096.88045607934,53000,58799.99999999999,a Master's degree,low,high,55854.339281431014,55382.9458175812,open,1456650
Marc,44888.843136894524,51500,43200.0,high school,medium,medium,55854.339281431014,57072.72774193507,open,1456650
Camilla,46119.291991540835,"$46,000",36000.0,a Bachelor's degree,low,low,55854.339281431014,56936.011202529924,open,1456650
Max,59743.47544401227,63000,43200.0,high school,medium,medium,55854.339281431014,55422.21304114421,open,1456650
Caroline,66197.64243667696,67000,70560.0,a Bachelor's degree,high,high,55854.339281431014,54705.083375292576,open,1456650
Arnault,35364.63112947192,35000,36000.0,high school,medium,low,46018.0725627042,47201.78827750778,open,79539931
Roberta,37676.9635526769,41500,42000.0,a Master's degree,low,low,46018.0725627042,46944.862452707224,open,79539931
Andreas,37488.957203934326,46000,57600.0,a PhD,low,medium,46018.0725627042,46965.752047011956,open,79539931
Anna,31437.416524098342,41000,42000.0,a Master's degree,low,low,46018.0725627042,47638.14545588262,open,79539931
Josh,48777.910514815754,52245,42000.0,a Master's degree,low,low,46018.0725627042,45711.42390135847,open,79539931
Sabrina,56814.796553325825,55000,80640.0,a PhD,high,medium,46018.0725627042,44818.43656374623,open,79539931
Marc,48903.09458931556,50800,50400.0,a Bachelor's degree,low,high,46018.0725627042,45697.51455974738,open,79539931
Camilla,52828.16758787826,55000,60480.0,a Master's degree,medium,medium,46018.0725627042,45261.39533768486,open,79539931
Max,76507.23692073853,76000,70560.0,a Bachelor's degree,high,high,46018.0725627042,42630.387634033716,open,79539931
Caroline,34381.55105078653,36811,36000.0,high school,low,medium,46018.0725627042,47311.01939736171,open,79539931
Arnault,49268.05765131694,55000,36000.0,high school,medium,low,66907.72379680237,68867.6867018563,open,41229
Roberta,78269.52471608444,58900,60479.99999999999,a Bachelor's degree,medium,high,66907.72379680237,65645.3014724377,open,41229
Andreas,73847.1222632488,57000,67200.0,a PhD,high,low,66907.72379680237,66136.67952275278,open,41229
Anna,60397.620411681986,56000,57600.0,a PhD,medium,low,66907.72379680237,67631.06861737132,open,41229
Josh,53633.267629304784,53000,50400.0,a Master's degree,low,medium,66907.72379680237,68382.66337096877,open,41229
Sabrina,57601.34562380223,70560,70560.0,a Master's degree,medium,high,66907.72379680237,67941.7658160246,open,41229
Marc,133050.17327722182,85000,80640.0,a PhD,high,medium,66907.72379680237,59558.56274342243,open,41229
Camilla,71331.53251357657,54000,69120.0,a PhD,medium,medium,66907.72379680237,66416.18949493858,open,41229
Max,54143.68638117578,55500,57600.0,a PhD,low,medium,66907.72379680237,68325.95017631644,open,41229
Caroline,37534.90750061037,53500,50400.0,a Bachelor's degree,low,high,66907.72379680237,70171.37005193482,open,41229
Arnault,51038.473807870956,52000,48000.0,a PhD,low,low,57722.269482028976,58464.913445824306,open,28430324
Roberta,57772.09653439061,41000,43200.0,high school,medium,medium,57722.269482028976,57716.73314287768,open,28430324
Andreas,60974.718957643396,59000,42000.0,high school,low,high,57722.269482028976,57360.886206960706,open,28430324
Anna,42936.27886770586,43500,42000.0,high school,high,low,57722.269482028976,59365.15732806487,open,28430324
Josh,38794.110543095136,41600,43200.0,a Bachelor's degree,medium,low,57722.269482028976,59825.398253021616,open,28430324
Sabrina,35221.47767637556,49000,42000.0,high school,high,low,57722.269482028976,60222.35746043491,open,28430324
Marc,45636.45349722988,52500,43200.0,a Bachelor's degree,medium,low,57722.269482028976,59065.13792478443,open,28430324
Camilla,85247.12102300598,59200,57600.0,a PhD,medium,low,57722.269482028976,54663.95264414264,open,28430324
Max,83463.16337200384,62500,67200.0,a PhD,high,low,57722.269482028976,54862.17016092066,open,28430324
Caroline,76138.80054096854,50000,69120.0,a PhD,medium,medium,57722.269482028976,55675.98825325791,open,28430324
Arnault,51384.122454666656,62000,43200.0,a Bachelor's degree,low,medium,50473.65757977207,50372.4948158949,open,1005726
